,Ticker,Year,Positive_Pred,Negative_Pred,Uncertainty_Pred,Litigious_Pred,Strong_Modal_Pred,Weak_Modal_Pred,Constraining_Pred
0,MEDC,2004,0.3163265306122449,0.061224489795918366,0.5204081632653061,0.0,0.0,0.01020408163265306,0.09183673469387756
1,MEDC,2005,0.17341040462427745,0.057803468208092484,0.5722543352601156,0.0,0.0,0.0,0.19653179190751446
2,MEDC,2006,0.11764705882352941,0.07352941176470588,0.6838235294117647,0.0,0.0,0.0,0.125
3,MEDC,2007,0.1791907514450867,0.11560693641618497,0.6416184971098265,0.0,0.0,0.0,0.06358381502890173
4,MEDC,2008,0.252,0.092,0.488,0.004,0.0,0.008,0.156
5,MEDC,2009,0.26515151515151514,0.12121212121212122,0.49242424242424243,0.030303030303030304,0.007575757575757576,0.0,0.08333333333333333
6,MEDC,2010,0.44545454545454544,0.06666666666666667,0.41818181818181815,0.006060606060606061,0.006060606060606061,0.0,0.05757575757575758
7,MEDC,2011,0.30625,0.0375,0.55,0.0,0.0,0.0,0.10625
8,MEDC,2012,0.32867132867132864,0.06293706293706294,0.5384615384615384,0.0,0.006993006993006993,0.0,0.06293706293706294
9,MEDC,2013,0.3790849673202614,0.13725490196078433,0.39215686274509803,0.0,0.0196078431372549,0.0,0.0718954248366013
10,MEDC,2014,0.3235294117647059,0.1323529411764706,0.4411764705882353,0.0,0.022058823529411766,0.007352941176470588,0.07352941176470588
11,MEDC,2015,0.24210526315789474,0.2,0.4842105263157895,0.0,0.010526315789473684,0.0,0.06315789473684211
12,MEDC,2016,0.3611111111111111,0.05555555555555555,0.4722222222222222,0.0,0.0,0.0,0.1111111111111111
13,MEDC,2017,0.4230769230769231,0.02564102564102564,0.5128205128205128,0.0,0.0,0.0,0.038461538461538464
14,MEDC,2018,0.3442622950819672,0.04918032786885246,0.45901639344262296,0.0,0.0,0.0,0.14754098360655737
15,MEDC,2019,0.3783783783783784,0.13513513513513514,0.4594594594594595,0.0,0.0,0.0,0.02702702702702703
16,MEDC,2020,0.36585365853658536,0.14634146341463414,0.36585365853658536,0.0,0.0,0.0,0.12195121951219512
17,MEDC,2021,0.5370370370370371,0.037037037037037035,0.2962962962962963,0.0,0.0,0.0,0.12962962962962962
18,MEDC,2022,0.5882352941176471,0.058823529411764705,0.3137254901960784,0.0,0.0196078431372549,0.0,0.0196078431372549
19,MEDC,2023,0.45901639344262296,0.08196721311475409,0.4098360655737705,0.0,0.0,0.03278688524590164,0.01639344262295082
