,Ticker,Year,Positive_Pred,Negative_Pred,Uncertainty_Pred,Litigious_Pred,Strong_Modal_Pred,Weak_Modal_Pred,Constraining_Pred
0,ACES,2020,0.4230769230769231,0.14102564102564102,0.2948717948717949,0.0,0.038461538461538464,0.0,0.10256410256410256
1,ACES,2021,0.4307692307692308,0.15384615384615385,0.26153846153846155,0.0,0.03076923076923077,0.0,0.12307692307692308
2,ACES,2022,0.38636363636363635,0.13636363636363635,0.29545454545454547,0.0,0.045454545454545456,0.0,0.13636363636363635
3,ACES,2023,0.44776119402985076,0.022388059701492536,0.3582089552238806,0.0,0.014925373134328358,0.007462686567164179,0.14925373134328357
4,ADRO,2019,0.3698630136986301,0.0958904109589041,0.4383561643835616,0.0,0.0273972602739726,0.0,0.0684931506849315
5,ADRO,2020,0.22093023255813954,0.1744186046511628,0.45348837209302323,0.0,0.046511627906976744,0.0,0.10465116279069768
6,ADRO,2021,0.40145985401459855,0.029197080291970802,0.4233576642335766,0.0,0.051094890510948905,0.0072992700729927005,0.08759124087591241
7,ADRO,2022,0.5035971223021583,0.014388489208633094,0.2949640287769784,0.0,0.03597122302158273,0.014388489208633094,0.1366906474820144
8,ADRO,2023,0.43548387096774194,0.0967741935483871,0.25,0.0,0.03225806451612903,0.016129032258064516,0.1693548387096774
9,AKRA,2019,0.32247557003257327,0.06840390879478828,0.3778501628664495,0.0,0.013029315960912053,0.006514657980456026,0.21172638436482086
10,AKRA,2020,0.375,0.0625,0.32894736842105265,0.0,0.039473684210526314,0.0,0.19407894736842105
11,AKRA,2021,0.48109965635738833,0.03436426116838488,0.28865979381443296,0.0,0.03436426116838488,0.003436426116838488,0.15807560137457044
12,AKRA,2022,0.5034722222222222,0.024305555555555556,0.2847222222222222,0.003472222222222222,0.027777777777777776,0.003472222222222222,0.1527777777777778
13,AKRA,2023,0.39308176100628933,0.025157232704402517,0.33962264150943394,0.0,0.0440251572327044,0.0,0.19811320754716982
14,AMRT,2019,0.5432098765432098,0.0,0.14814814814814814,0.0,0.06172839506172839,0.024691358024691357,0.2222222222222222
15,AMRT,2020,0.35858585858585856,0.04040404040404041,0.3282828282828283,0.0,0.030303030303030304,0.0,0.24242424242424243
16,AMRT,2021,0.45544554455445546,0.019801980198019802,0.297029702970297,0.0,0.04950495049504951,0.0049504950495049506,0.17326732673267325
17,AMRT,2022,0.4158415841584158,0.009900990099009901,0.27722772277227725,0.0,0.04950495049504951,0.0,0.24752475247524752
18,AMRT,2023,0.4765625,0.0078125,0.3125,0.0,0.0546875,0.0,0.1484375
19,ANTM,2019,0.3017241379310345,0.04827586206896552,0.35344827586206895,0.008620689655172414,0.020689655172413793,0.0034482758620689655,0.2637931034482759
20,ANTM,2020,0.34894991922455576,0.046849757673667204,0.36348949919224555,0.008077544426494346,0.024232633279483037,0.0016155088852988692,0.20678513731825526
21,ANTM,2021,0.41515650741350907,0.036243822075782535,0.33772652388797364,0.0016474464579901153,0.032948929159802305,0.004942339373970346,0.171334431630972
22,ANTM,2022,0.38088012139605465,0.03338391502276176,0.34597875569044007,0.010622154779969651,0.019726858877086494,0.004552352048558422,0.20485584218512898
23,ANTM,2023,0.40929535232383807,0.029985007496251874,0.29985007496251875,0.005997001499250375,0.025487256371814093,0.0029985007496251873,0.22638680659670166
24,ARTO,2019,0.24607329842931938,0.07853403141361257,0.3403141361256545,0.005235602094240838,0.031413612565445025,0.010471204188481676,0.2879581151832461
